row,headline,subheadline,cta_text,caption,hashtags,landing_url,widget_file,content_angle,urgency_level,target_audience,template_id,image_url,platform,status
1,Spray Foam Removal,"Safe • Professional • Documented",Book Free Assessment,"Spray foam causing issues with your mortgage or valuation? 🏠 Major lenders are now REFUSING mortgages on properties with spray foam insulation. We provide safe, professional removal with full RICS-compliant documentation that satisfies lenders and surveyors. Serving England, Wales & Northern Ireland. Free assessment — link in bio.",#SprayFoamRemoval #MortgageProblems #SprayFoam #InsulationRemoval #UKProperty #HomeOwner #PropertyValue #MortgageAdvice #SurveyorReport #LoftInsulation,[landing_page_url],canvablog1.html,mortgage_block,high,homeowners_selling_remortgaging,[canva_template_id],[your_image_url],instagram_feed,draft
2,Your Free Insulation Could Be Destroying Your Home,"Millions of UK homes affected",Check If You Qualify,"⚠️ Millions of UK homes had cavity wall insulation installed FREE under government schemes. Many were NEVER properly surveyed. Now homeowners face: ❌ Penetrating damp ❌ Black mould ❌ Cold spots ❌ Crumbling render ❌ Structural damage. You could be entitled to free removal + compensation up to £50,000. Link in bio.",#CavityWallInsulation #DampProblems #ECOScheme #GreenDeal #InsulationClaim #FreeInsulation #UKHomeowners #DampWalls #MouldRemoval #PropertyDamage,[landing_page_url],canvablog2.html,govt_scheme_victim,high,govt_scheme_recipients,[canva_template_id],[your_image_url],instagram_feed,draft
3,Had Free Insulation Installed?,"It could be causing hidden damage right now",Free Assessment,"Had insulation installed under ECO, Green Deal or another scheme? 🏡 If your home now has damp, mould or structural damage — the installer, surveyor AND scheme funder could all be liable. Typical claims: £10,000–£50,000+. Time limits apply. Free eligibility check — link in bio.",#FreeInsulation #DampWalls #MouldRemoval #UKHomeowners #InsulationClaims #ECOScheme #GreenDeal #WarmFront #HomeRepair #CompensationClaim,[landing_page_url],canvablog4.html,eco_green_deal,high,eco_scheme_recipients,[canva_template_id],[your_image_url],instagram_feed,draft
4,Is Your Home Making You Ill?,"Mould from bad insulation is a serious health risk",Get Checked Free,"Black mould isn't just ugly — it's dangerous. 🫁 Respiratory problems, allergies, and chronic illness are linked to mould exposure. If your mould appeared AFTER insulation was installed, the insulation could be trapping moisture inside your walls. Free damage assessment available. England, Wales & NI only. Link in bio.",#BlackMould #MouldHealth #DampHome #InsulationDamage #UKHomeowner #HealthRisk #MouldRemoval #DampProblems #InsulationClaim #PropertyRepair,[landing_page_url],canvablog3.html,health_risk,high,mould_sufferers,[canva_template_id],[your_image_url],instagram_feed,draft
5,Selling Your Home? Check Your Loft First,"Spray foam = instant mortgage rejection",Free Loft Check,"Planning to sell? 🏠 Check your loft BEFORE listing. Spray foam insulation is now the #1 reason sales fall through in the UK. Surveyors flag it ➡️ Lenders reject it ➡️ Buyers walk away. We remove it safely with full documentation. Don't lose your sale. Free assessment — link in bio.",#SellingHome #SprayFoam #PropertySale #MortgageRejection #LoftInsulation #HomeSelling #UKProperty #SurveyorReport #EstateAgent #ConveyancingTips,[landing_page_url],canvablog1.html,sale_falling_through,high,homeowners_selling,[canva_template_id],[your_image_url],instagram_feed,draft
6,How Much Is Bad Insulation Costing You?,"Use our free calculator to find out",Calculate Now,"💰 Bad insulation doesn't just cause damp — it DESTROYS your property value. Typical total impact: 📉 Property devaluation: 10–22% 🔧 Removal costs: £3k–£15k 🏗️ Repair costs: £2k–£5k 💷 But claims can recover £10k–£50k+. Use our free impact calculator — link in bio.",#PropertyValue #InsulationDamage #HomeValue #UKProperty #PropertyDevaluation #InsulationRemoval #CompensationClaim #HomeOwnerTips #DampRepair #FreeAssessment,[landing_page_url],canvablog5.html,financial_impact,medium,financially_motivated,[canva_template_id],[your_image_url],instagram_feed,draft
7,"BEFORE ➡️ AFTER: Spray Foam Removal","Professional removal with full documentation",See Our Work,"Swipe to see the difference ➡️ Professional spray foam removal done right. ✅ Safe removal process ✅ No roof damage ✅ Full RICS-compliant report ✅ Satisfies all major lenders ✅ Serving England, Wales & NI. If you have spray foam in your loft, don't wait until it costs you a sale. Free assessment — link in bio.",#SprayFoamRemoval #BeforeAndAfter #LoftConversion #PropertyRepair #UKHomeImprovement #InsulationRemoval #RICSReport #MortgageReady #HomeRenovation #SafeRemoval,[landing_page_url],canvablog1.html,social_proof,medium,all_affected_homeowners,[canva_template_id],[your_image_url],instagram_feed,draft
8,Damp? Mould? Cold Spots?,"Your insulation might be the problem — not the solution",Free Check,"Stop blaming ventilation. Stop buying dehumidifiers. 🛑 If damp, mould or cold spots appeared AFTER insulation was installed, the insulation itself could be the cause. Cavity wall insulation traps moisture in unsuitable properties. Spray foam blocks ventilation in lofts. Get a free professional assessment. Link in bio.",#DampProblems #ColdSpots #Mould #InsulationProblems #UKHomeowner #CavityWall #SprayFoam #DampSurvey #HomeRepair #FreeAssessment,[landing_page_url],canvablog3.html,damp_after_insulation,medium,damp_sufferers,[canva_template_id],[your_image_url],instagram_feed,draft
9,⚠️ TIME IS RUNNING OUT,"Claims are time-limited. Some installers going insolvent.",Check Now,"🚨 URGENT: Many insulation installers and scheme funders are going INSOLVENT. If you have a claim for wrongly installed insulation, the window is closing. Under UK law, claims are time-limited. Every month you wait = less chance of recovering compensation. Check your eligibility NOW — free, no obligation. Link in bio.",#InsulationClaim #TimeLimited #ActNow #UKLaw #CompensationClaim #InsulationDamage #GoingInsolvent #ClaimNow #Homeowner #FreeCheck,[landing_page_url],canvablog4.html,urgency_scarcity,high,all_affected_homeowners,[canva_template_id],[your_image_url],instagram_feed,draft
10,5 Signs Your Insulation Was Wrongly Installed,"How many apply to your home?",Take The Quiz,"🔍 5 warning signs your insulation was wrongly installed: 1️⃣ Damp patches on interior walls 2️⃣ Black mould in corners or behind furniture 3️⃣ Home feels COLDER than before 4️⃣ External render cracking or falling 5️⃣ No surveyor visited before installation. If 2+ apply, you likely have a valid claim worth £10k–£50k+. Free assessment — link in bio.",#InsulationSigns #DampSigns #MouldWarning #CavityWall #SprayFoam #InsulationClaim #UKHomeowner #PropertyDamage #FreeAssessment #HomeTips,[landing_page_url],canvablog2.html,educational_checklist,medium,unaware_victims,[canva_template_id],[your_image_url],instagram_feed,draft
